fancyname;category;company;purchases;ads;usersinteract;age_rating;Downloads;price;rating;numberreviews;five;four;three;two;one
My Baby 3 (Virtual Pet);casual;baby care games;0;1;1;0;1000000;0;3.7;15643;100;14;14;8;41
Princess memory game for kids;board;owlet games for kids;1;1;0;0;1000000;0;4.0;10597;100;16;12;7;23
Barbie Dreamhouse Adventures;simulation;budge studios;1;1;0;0;10000000;0;4.1;261071;100;14;8;5;21
Real Piano Teacher 2;music;nojoke studios;0;1;0;0;1000000;0;4.3;35886;100;20;14;6;10
Doctor Kids 4;casual;m by bubadu;1;1;0;0;1000000;0;4.0;1245;100;18;12;8;23
High School Girl Simulator: Virtual Life Game 3D;simulation;giochi studios;1;1;0;12;500000;0;2.6;6815;60;15;15;16;100
3D Bowling;sports;italic games;0;1;0;0;100000000;0;4.5;1125536;100;17;8;2;6
Girls Fun Trip - Animal Zoo Game;simulation;girl games - vasco games;1;1;0;0;1000000;0;3.9;6175;100;14;8;5;29
Live your Life as a Loyal Tamed & Brave Dog 2018;simulation;horizonloft;1;1;0;0;100000;0;2.9;2995;89;13;18;13;100
Marry Me - Perfect Wedding Day;casual;coco play by tabtale;1;1;0;0;10000000;0;3.9;121832;100;15;13;8;27
Jungle Animal Hair Salon;educational;tutotoons;1;1;0;0;10000000;0;4.0;65826;100;13;11;5;24
Virtual Mother Life: Mom Dad Simulator;adventure;toucan games 3d;1;1;0;7;500000;0;3.0;4876;100;15;18;20;92
Talking Tom Candy Run;arcade;outfit7 limited;1;1;0;0;10000000;0;4.3;81101;100;14;8;4;14
Doll House Design & Decoration : Girls House Games;simulation;sablo games;0;1;0;0;5000000;0;3.2;29752;100;15;14;13;74
My Virtual Pet Dog <U+0001F43E> Louie the Pug;casual;digitaleagle;1;1;0;0;500000;0;4.5;18302;100;13;8;2;5
My New Baby 2 - Twins!;educational;playtales books;1;1;0;0;1000000;0;4.1;44438;100;14;9;5;21
Doctor Kids;casual;m by bubadu;1;1;0;0;10000000;0;4.3;219987;100;14;9;4;12
Doctor Kids 2;casual;m by bubadu;1;1;0;0;5000000;0;4.2;33474;100;15;12;5;15
Barbie Magical Fashion;casual;budge studios;1;1;0;0;10000000;0;4.1;357354;100;12;10;5;22
Dr. Panda Restaurant 3;educational;dr. panda;1;0;0;0;1000000;0;3.7;20347;100;16;14;12;36
Paint Hit;casual;mag interactive;1;1;0;0;10000000;0;4.4;67395;100;28;6;2;9
Sweet Baby Girl Summer Fun 2 - Holiday Beach Party;educational;tutotoons;1;1;0;0;5000000;0;4.2;21194;100;12;9;6;17
Iron Maiden: Legacy of the Beast;role playing;nodding frog ltd;1;0;0;12;1000000;0;4.6;96662;100;13;3;2;5
Learn Japanese for Free with kawaii<U+65E5><U+672C><U+8A9E>;educational;mardukcorp;1;1;0;0;100000;0;4.6;4092;100;22;6;2;3
Major\Minor;simulation;tall tail studios;0;0;0;0;50000;0;4.6;2544;100;12;4;1;7
War and Order;strategy;camel games, inc;1;0;1;12;10000000;0;4.2;295616;100;29;11;3;16
Oil Hunt;arcade;playflame;1;1;0;0;10000000;0;3.6;85417;100;23;17;9;49
